St  Name                           Version                        Arch   Description                                                  Licenses
--  ----                           -------                        ----   -----------                                                  --------
ii  adduser                        3.116ubuntu1                   all    add and remove users and groups                              GPL-2
ii  adwaita-icon-theme             3.28.0-1ubuntu1                all    default icon theme of GNOME (small subset)                   GFDL-1.2 GPL LGPL-3
ii  apache2-utils                  2.4.29-1ubuntu4.11             amd64  Apache HTTP Server (utility programs for web servers)        Apache-2.0 Apache-2.0 or GPL-2+ BSD-2-clause-Darwin BSD-3-clause-Cambridge BSD-3-clause-Smrgrav Cisco Custom GPL-2+ GPL-3+ GPL-3+ or Custom Haines MD5 MIT PCRE Zeus
ii  apport                         2.20.9-0ubuntu7.9              all    automatically generate crash reports for debugging           GPL-2+
ii  apport-symptoms                0.20                           all    symptom scripts for apport                                   GPL-2+
ii  apt                            1.6.12                         amd64  commandline package manager                                  GPL-2
ii  apt-transport-https            1.6.12                         all    transitional package for https support                       GPL-2
ii  apt-utils                      1.6.12                         amd64  package management related utility programs                  GPL-2
ii  at-spi2-core                   2.28.0-1                       amd64  Assistive Technology Service Provider Interface (dbus core)  AFL-2.1 AFL-2.1 or GPL-2+ GPL-2 GPL-2+ LGPL-2+ public-domain
ii  autoconf                       2.69-11                        all    automatic configure script builder                           GFDL-1.3+ GPL-2+ GPL-2+ with Autoconf exception GPL-3+ GPL-3+ with Autoconf exception GPL-3+ with Texinfo exception MIT-X-Consortium no-modification other permissive permissive-long-disclaimer permissive-short-disclaimer permissive-without-disclaimer permissive-without-notices-or-disclaimer
ii  autoconf-archive               20170928-2                     all    Autoconf Macro Archive                                       BSD-2-clause BSD-3-clause BSD-with-FSF-change-public-domain GFDL-NIV-1.3+ GNU-All-Permissive-License GNU-All-Permissive-License-like GPL-2+ GPL2+-with-Autoconf-Macros-exception GPL-3+ GPL3+-with-Autoconf-Configure-Script-3-exception GPL3+-with-Autoconf-Macros-exception LGPL-2.1+ LGPL3+-with-Autoconf-Macros-exception Unlimited-permission
ii  autojump                       22.5.0-2                       all    shell extension to jump to frequently used directories       GPL-3+
ii  automake                       1:1.15.1-3ubuntu2              all    Tool for generating GNU Standards-compliant Makefiles        GFDL-NIV-1.3+ GPL-2+ GPL-3+ permissive
ii  autossh                        1.4e-4                         amd64  Automatically restart SSH sessions and tunnels               autossh autossh or ISC-OpenBSD-Flavour or MirOS or ISC-MirOS-Flavour ISC-MirOS-Flavour ISC-OpenBSD-Flavour MirOS
ii  autotools-dev                  20180224.1                     all    Update infrastructure for config.{guess,sub} files           GPL
ii  baobab                         3.28.0-1                       amd64  GNOME disk usage analyzer                                    GPL-2+
ii  base-files                     10.1ubuntu2.7                  amd64  Debian base system miscellaneous files                       GPL
ii  base-passwd                    3.5.44                         amd64  Debian base system master password and group files           GPL-2
ii  bash                           4.4.18-2ubuntu1.2              amd64  GNU Bourne Again SHell                                       GPL-3
ii  bash-completion                1:2.8-1ubuntu1                 all    programmable completion for the bash shell                   GPL-2+
ii  bat                            0.12.1                         amd64  A cat(1) clone with wings.                                   Apache-2.0 Apache-2.0 or MIT MIT
ii  binutils                       2.30-21ubuntu1~18.04.2         amd64  GNU assembler, linker and binary utilities                   GFDL GPL LGPL
ii  binutils-common:amd64          2.30-21ubuntu1~18.04.2         amd64  Common files for the GNU assembler, linker and binary utilit GFDL GPL LGPL
ii  binutils-x86-64-linux-gnu      2.30-21ubuntu1~18.04.2         amd64  GNU binary utilities, for x86-64-linux-gnu target            GFDL GPL LGPL
ii  bsdmainutils                   11.1.2ubuntu1                  amd64  collection of more utilities from FreeBSD                    unknown
ii  bsdtar                         3.2.2-3.1ubuntu0.5             all    transitional dummy package for moving bsdtar to libarchive-t Apache-2.0 BSD-124-clause-UCB BSD-1-clause-UCB BSD-2-clause BSD-3-clause-UCB BSD-4-clause-UCB Expat PD
ii  bsdutils                       1:2.31.1-0.4ubuntu3.4          amd64  basic utilities from 4.4BSD-Lite                             BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3+ LGPL LGPL-2+ LGPL-2.1+ LGPL-3+ MIT public-domain
ii  bubblewrap                     0.2.1-1ubuntu0.1               amd64  setuid wrapper for unprivileged chroot and namespace manipul GPL-2+ with Autoconf exception LGPL-2+
ii  build-essential                12.4ubuntu1                    amd64  Informational list of build-essential packages               GPL
ii  bzip2                          1.0.6-8.1ubuntu0.2             amd64  high-quality block-sorting file compressor - utilities       GPL-2
ii  ca-certificates                20180409                       all    Common CA certificates                                       GPL-2+ MPL-2.0
ii  ca-certificates-java           20180516ubuntu1~18.04.1        all    Common CA certificates (JKS keystore)                        GPL
ii  catfish                        1.4.4-1                        all    File searching tool which is configurable via the command li GPL-2+
ii  chromium-browser               79.0.3945.79-0ubuntu0.18.04.1  amd64  Chromium web browser, open-source version of Chrome          Apache-2.0 GPL-2 GPL-3 LGPL-2 LGPL-2.1
ii  chromium-browser-l10n          79.0.3945.79-0ubuntu0.18.04.1  all    chromium-browser language packages                           Apache-2.0 GPL-2 GPL-3 LGPL-2 LGPL-2.1
ii  chromium-codecs-ffmpeg         79.0.3945.79-0ubuntu0.18.04.1  amd64  Free ffmpeg codecs for the Chromium Browser                  Apache-2.0 GPL-2 GPL-3 LGPL-2 LGPL-2.1
ii  clinfo                         2.2.18.03.26-1                 amd64  Query OpenCL system information                              CC0 GPL-3.0+
ii  cmake                          3.10.2-1ubuntu2.18.04.1        amd64  cross-platform, open-source make system                      Apache-2.0 BSD-2-clause BSD-3-clause BSD-4-clause GPL-2+with_exception GPL-3+with_exception ISC MIT-like zlib
ii  cmake-data                     3.10.2-1ubuntu2.18.04.1        all    CMake data files (modules, templates and documentation)      Apache-2.0 BSD-2-clause BSD-3-clause BSD-4-clause GPL-2+with_exception GPL-3+with_exception ISC MIT-like zlib
ii  code                           1.41.1-1576681836              amd64  Code editing. Redefined.                                     unknown
ii  coreutils                      8.28-1ubuntu1                  amd64  GNU core utilities                                           GPL-3
ii  cpp                            4:7.4.0-1ubuntu2.3             amd64  GNU C preprocessor (cpp)                                     GPL
ii  cpp-7                          7.4.0-1ubuntu1~18.04.1         amd64  GNU C preprocessor                                           Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL
ii  cron                           3.0pl1-128.1ubuntu1            amd64  process scheduling daemon                                    Artistic GPL-2+ ISC Paul-Vixie's-license
